City,Hotel Name,Value,Cleanliness,Room,Location,Service,Overall
beijing,china beijing aloft beijing haidian,1.67,5.0,0.0,0.0,0.0,1.334
beijing,china beijing ascott beijing,3.0,5.0,5.0,5.0,0.0,3.6
beijing,china beijing autumn garden courtyard hotel,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing bamboo garden hotel,3.46,5.0,0.0,5.0,5.0,3.692
beijing,china beijing beijing century towers,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing beijing dong fang hotel,3.57,4.23,5.0,5.0,0.0,3.56
beijing,china beijing beijing far east international youth hostel,2.5,4.5,0.0,5.0,5.0,3.4
beijing,china beijing beijing friendship hotel grand building,2.33,4.47,5.0,5.0,0.0,3.3600000000000003
beijing,china beijing beijing guangming hotel,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing beijing hotel,2.69,3.33,0.0,5.0,5.0,3.2039999999999997
beijing,china beijing beijing international hotel,0.0,3.7,5.0,5.0,5.0,3.7399999999999998
beijing,china beijing beijing jade international youth hostel,3.18,5.0,5.0,5.0,5.0,4.636
beijing,china beijing beijing sihe courtyard hotel,2.69,5.0,0.0,5.0,5.0,3.5379999999999994
beijing,china beijing bohao radegast hotel beijing,0.0,5.0,1.67,0.0,5.0,2.334
beijing,china beijing capital hotel beijing,0.0,4.77,0.0,5.0,5.0,2.9539999999999997
beijing,china beijing china world hotel,0.0,5.0,0.0,5.0,2.5,2.5
beijing,china beijing city hotel beijing,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing commune by the great wall kempinski,0.0,2.78,0.0,3.0,5.0,2.1559999999999997
beijing,china beijing courtyard 7,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing courtyard by marriott,0.88,3.72,3.33,5.0,5.0,3.586
beijing,china beijing courtyard by marriott beijing northeast,0.0,5.0,5.0,0.0,5.0,3.0
beijing,china beijing crowne plaza hotel beijing,1.74,4.32,0.0,5.0,5.0,3.2120000000000006
beijing,china beijing crowne plaza hotel zhongguancun,1.67,5.0,5.0,5.0,5.0,4.3340000000000005
beijing,china beijing crowne plaza international airport hotel beijing,0.0,5.0,5.0,5.0,0.0,3.0
beijing,china beijing crowne plaza park view wuzhou,0.0,4.41,5.0,5.0,5.0,3.882
beijing,china beijing crowne plaza sun palace beijing,0.0,5.0,5.0,0.0,0.0,2.0
beijing,china beijing days inn forbidden city beijing,2.27,3.97,2.14,5.0,5.0,3.6760000000000006
beijing,china beijing days inn joiest beijing,5.0,2.27,0.0,0.0,0.0,1.454
beijing,china beijing doubletree by hilton beijing,2.78,5.0,5.0,0.0,5.0,3.556
beijing,china beijing double happiness courtyard hotel,1.25,5.0,0.0,5.0,5.0,3.25
beijing,china beijing empark grand hotel,3.33,5.0,0.0,0.0,0.0,1.666
beijing,china beijing fujian hotel,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing gloria plaza hotel beijing,0.45,3.89,5.0,5.0,5.0,3.868
beijing,china beijing grand hotel beijing,0.0,5.0,5.0,5.0,5.0,4.0
beijing,china beijing grand hyatt beijing,0.0,4.69,1.67,5.0,5.0,3.272
beijing,china beijing grand mercure hotel xidan,2.59,4.32,2.5,5.0,2.5,3.382
beijing,china beijing grand millennium beijing,1.67,5.0,0.0,5.0,0.0,2.334
beijing,china beijing grand view garden hotel,0.45,3.75,5.0,1.67,0.0,2.174
beijing,china beijing guangzhou hotel,2.5,5.0,0.0,5.0,0.0,2.5
beijing,china beijing harmony hotel,3.68,4.77,0.0,5.0,5.0,3.69
beijing,china beijing hebei hotel beijing,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing hilton beijing,0.0,5.0,5.0,5.0,5.0,4.0
beijing,china beijing hilton beijing wangfujing,0.0,4.05,5.0,5.0,5.0,3.81
beijing,china beijing holiday inn beijing lido,0.0,5.0,5.0,5.0,0.0,3.0
beijing,china beijing holiday inn central plaza,2.91,4.9,3.33,4.5,5.0,4.128
beijing,china beijing holiday inn chang an west,5.0,5.0,0.0,5.0,5.0,4.0
beijing,china beijing holiday inn downtown beijing,2.33,5.0,0.0,5.0,0.0,2.466
beijing,china beijing holiday inn express beijing minzuyuan,0.0,5.0,5.0,5.0,0.0,3.0
beijing,china beijing holiday inn express beijing temple of heaven,3.64,5.0,0.0,5.0,5.0,3.728
beijing,china beijing holiday inn express beijing wangjing,0.0,5.0,5.0,5.0,0.0,3.0
beijing,china beijing holiday inn temple of heaven,2.14,5.0,5.0,5.0,5.0,4.428
beijing,china beijing hollyear hotel beijing,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing hotel cote cour beijing,0.71,5.0,0.0,5.0,5.0,3.1420000000000003
beijing,china beijing hotel g,3.1,4.0,3.18,5.0,5.0,4.056
beijing,china beijing hotel ibis beijing sanyuan,3.0,5.0,0.0,5.0,5.0,3.6
beijing,china beijing hotel kunlun,5.0,5.0,0.0,0.0,5.0,3.0
beijing,china beijing hotel new otani chang fu gong,0.0,5.0,0.0,5.0,5.0,3.0
beijing,china beijing howard johnson paragon,1.36,4.52,0.0,5.0,5.0,3.1759999999999997
beijing,china beijing huadu hotel,5.0,3.57,0.0,0.0,0.0,1.714
beijing,china beijing hwa apartment hotel,2.0,5.0,5.0,5.0,0.0,3.4
beijing,china beijing intercontinental beijing beichen,0.0,5.0,5.0,5.0,5.0,4.0
beijing,china beijing intercontinental financial street beijing,1.67,5.0,5.0,3.57,0.0,3.048
beijing,china beijing jade garden hotel,3.0,5.0,0.0,5.0,5.0,3.6
beijing,china beijing jianguo hotel qianmen beijing,0.0,3.82,5.0,5.0,5.0,3.7640000000000002
beijing,china beijing jian guo hotel,0.56,5.0,5.0,5.0,0.0,3.112
beijing,china beijing jinqiao international apartment hotel,5.0,0.0,0.0,0.0,0.0,1.0
beijing,china beijing joy city hotel,2.5,2.14,0.0,0.0,0.0,0.9280000000000002
beijing,china beijing jw marriott hotel beijing,2.5,5.0,0.0,5.0,5.0,3.5
beijing,china beijing kapok hotel,2.38,5.0,0.0,5.0,5.0,3.476
beijing,china beijing kellys courtyard,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing kempinski hotel beijing lufthansa center,0.0,5.0,0.0,0.0,5.0,2.0
beijing,china beijing kuntai royal hotel,0.0,5.0,5.0,5.0,5.0,4.0
beijing,china beijing lee garden service apartment beijing,2.14,3.18,0.0,5.0,0.0,2.064
beijing,china beijing legendale hotel beijing,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing loong palace hotel resort,0.71,5.0,5.0,5.0,5.0,4.142
beijing,china beijing luxury serviced residence,5.0,5.0,0.0,5.0,5.0,4.0
beijing,china beijing marco polo parkside hotel,5.0,5.0,5.0,0.0,0.0,3.0
beijing,china beijing marriott beijing hotel west,3.89,4.0,0.0,5.0,5.0,3.5780000000000003
beijing,china beijing marriott executive apartments sandalwood,0.0,0.0,0.0,0.0,0.0,0.0
beijing,china beijing marriott hotel beijing city wall,1.0,3.46,0.0,0.0,5.0,1.8920000000000001
beijing,china beijing mercure wanshang beijing,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing michael s house in beijing,1.67,4.55,0.0,3.33,5.0,2.91
beijing,china beijing motel 268 beijing wangfujing,0.0,3.75,0.0,0.0,0.0,0.75
beijing,china beijing new world hotel jing guang,0.0,2.5,0.0,5.0,0.0,1.5
beijing,china beijing nikko new century beijing hotel,0.0,3.33,0.0,5.0,5.0,2.666
beijing,china beijing novotel peace hotel,0.71,3.6,0.0,4.17,5.0,2.696
beijing,china beijing novotel xinqiao beijing,1.04,4.08,0.0,5.0,5.0,3.024
beijing,china beijing oakwood residence beijing,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing orange hotel beijing asia games village,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing oriental bay international hotel,5.0,5.0,0.0,5.0,5.0,4.0
beijing,china beijing oriental culture hotel,2.0,5.0,0.0,0.0,5.0,2.4
beijing,china beijing oriental garden hotel,2.5,5.0,5.0,5.0,0.0,3.5
beijing,china beijing palm springs beijing marriott executive apartments,3.0,2.78,0.0,5.0,5.0,3.1559999999999997
beijing,china beijing park hyatt beijing,0.0,0.0,0.0,3.57,0.0,0.714
beijing,china beijing park plaza beijing wangfujing,1.36,5.0,5.0,5.0,5.0,4.272
beijing,china beijing peixin hotel beijing,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing plaza hotel beijing,1.67,5.0,0.0,0.0,0.0,1.334
beijing,china beijing prime hotel,1.43,4.6,3.0,5.0,5.0,3.806
beijing,china beijing pullman beijing west wanda,3.33,5.0,0.0,5.0,5.0,3.6659999999999995
beijing,china beijing qianyuan international business hotel,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing raffles beijing hotel,1.4,4.41,0.0,5.0,0.0,2.162
beijing,china beijing renaissance beijing capital hotel,5.0,0.0,5.0,5.0,5.0,4.0
beijing,china beijing renaissance beijing hotel,2.5,5.0,0.0,2.5,5.0,3.0
beijing,china beijing shangri la hotel beijing,0.0,4.09,5.0,1.67,5.0,3.152
beijing,china beijing shangri la kerry centre hotel,0.0,5.0,5.0,5.0,5.0,4.0
beijing,china beijing shatan hotel,2.92,4.51,0.0,5.0,5.0,3.4859999999999998
beijing,china beijing sofitel wanda beijing,0.0,2.5,5.0,5.0,2.5,3.0
beijing,china beijing soluxe sunshine courtyard hotel,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing somerset zhongguancun,0.0,5.0,0.0,0.0,5.0,2.0
beijing,china beijing spring garden courtyard hotel,5.0,5.0,0.0,0.0,5.0,3.0
beijing,china beijing sunworld hotel beijing,3.24,5.0,0.0,5.0,0.0,2.648
beijing,china beijing swissotel beijing,0.0,3.64,0.0,3.57,5.0,2.442
beijing,china beijing templeside deluxe hutong house hotel,2.5,5.0,0.0,0.0,0.0,1.5
beijing,china beijing the aman at summer palace,0.0,0.0,0.0,0.0,0.0,0.0
beijing,china beijing the emperor,5.0,5.0,0.0,5.0,0.0,3.0
beijing,china beijing the opposite house,1.0,5.0,1.67,0.0,5.0,2.534
beijing,china beijing the peninsula beijing,0.0,4.23,0.71,4.57,5.0,2.902
beijing,china beijing the regent beijing,1.0,3.42,3.0,5.0,5.0,3.4840000000000004
beijing,china beijing the ritz carlton beijing financial street,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing the ritz carlton huamao center,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing the st regis beijing,0.0,5.0,0.0,5.0,5.0,3.0
beijing,china beijing the westin beijing chaoyang,0.0,5.0,0.0,5.0,0.0,2.0
beijing,china beijing the westin beijing financial street,0.79,4.58,5.0,5.0,5.0,4.074
beijing,china beijing tianlun dynasty hotel,0.0,4.44,5.0,3.0,5.0,3.4880000000000004
beijing,china beijing tianrui beijing,0.0,5.0,0.0,5.0,5.0,3.0
beijing,china beijing tiantan hotel,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing traders hotel,0.0,5.0,0.0,5.0,5.0,3.0
beijing,china beijing traders upper east hotel,0.0,5.0,0.0,0.0,0.0,1.0
beijing,china beijing wangfujing grand hotel,0.56,4.35,0.0,5.0,5.0,2.982
beijing,china beijing xinhai jinjiang hotel,3.33,2.27,5.0,5.0,5.0,4.12
beijing,china beijing xinyuan inn,5.0,0.0,0.0,0.0,0.0,1.0
beijing,china beijing xixi friendship hotel,5.0,5.0,0.0,0.0,0.0,2.0
beijing,china beijing xiyuan hotel,5.0,5.0,0.0,5.0,5.0,4.0
beijing,china beijing xi jiao hotel beijing,5.0,5.0,0.0,5.0,0.0,3.0
beijing,china beijing yi hai business hotel,5.0,0.0,0.0,5.0,0.0,2.0
beijing,china beijing zhong an inn zhong an hotel,1.82,4.57,0.0,5.0,5.0,3.278
chicago,usa illinois chicago abbott hotel,0.0,0.0,0.0,0.0,0.0,0.0
chicago,usa illinois chicago affinia chicago,0.0,4.58,2.39,4.89,5.0,3.372
chicago,usa illinois chicago allerton hotel,0.68,4.31,0.71,5.0,4.09,2.9579999999999997
chicago,usa illinois chicago amalfi hotel chicago,1.56,4.39,3.33,4.79,5.0,3.814
chicago,usa illinois chicago ambassador east hotel,0.71,3.86,2.14,5.0,5.0,3.342
chicago,usa illinois chicago amber inn,5.0,3.75,5.0,5.0,5.0,4.75
chicago,usa illinois chicago avenue hotel chicago,0.0,4.42,2.27,4.62,2.14,2.69
chicago,usa illinois chicago belair hotel,0.0,3.57,0.0,5.0,5.0,2.714
chicago,usa illinois chicago belden stratford hotel,1.36,5.0,0.0,5.0,0.0,2.272
chicago,usa illinois chicago bellwood hotel,3.33,4.09,0.0,0.0,0.0,1.484
chicago,usa illinois chicago best western grant park hotel,1.88,4.48,5.0,5.0,5.0,4.272
chicago,usa illinois chicago best western hawthorne terrace,1.67,5.0,0.0,5.0,0.0,2.334
chicago,usa illinois chicago best western river north chicago downtown hotel,0.0,4.84,3.0,5.0,5.0,3.568
chicago,usa illinois chicago buckingham athletic club,0.0,3.75,0.0,5.0,0.0,1.75
chicago,usa illinois chicago carlton inn midway,0.0,5.0,0.0,5.0,5.0,3.0
chicago,usa illinois chicago central loop hotel,0.0,5.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago chateau hotel,0.0,0.0,0.0,5.0,0.0,1.0
chicago,usa illinois chicago chicago lodge,5.0,0.0,0.0,0.0,0.0,1.0
chicago,usa illinois chicago chicago marriott at medical district uic,0.0,5.0,5.0,5.0,5.0,4.0
chicago,usa illinois chicago chicago marriott o hare,0.0,3.52,0.0,3.0,5.0,2.304
chicago,usa illinois chicago chicago o hare garden hotel,4.41,1.88,0.0,5.0,0.0,2.258
chicago,usa illinois chicago chicago south loop hotel,4.0,4.62,1.67,2.14,5.0,3.4859999999999998
chicago,usa illinois chicago chicago s essex inn,1.92,3.7,2.69,5.0,5.0,3.6620000000000004
chicago,usa illinois chicago chinatown hotel,4.38,4.63,0.0,5.0,0.0,2.802
chicago,usa illinois chicago city suites hotel,1.0,4.7,5.0,3.75,0.0,2.8899999999999997
